宠物ID	奇遇ID	奇遇名称	地图	类型	目标类型	目标模板ID	名称		坐标列表	
dwPet	nSerendipityID		dwMapID	szType	dwType	dwID			aPosition	
64	1	一杠	2	TRIGGER	TARGET.NPC	48105	赵小凯	1	{{78595, 38173, 1103296}}	
79	2	红绸	9	TRIGGER	TARGET.NPC	47992	莫老五	1	{{17870, 30760, 1057792}}	
80	3	酒客	16	TRIGGER	TARGET.NPC	36945	陶九翁	1	{{28429, 71756, 1058432}}	
80	3	酒客	16	LOOT	TARGET.DOODAD	5812	酒坛	1	{{28074, 72288, 1058432}}	
99	4	枫林客	12	TRIGGER	TARGET.NPC	42874	马四	1	{{79906, 45713, 1079552}}	
131	5	童心客	49	TRIGGER	TARGET.NPC	48171	铸剑大师	1	{{97927, 73536, 1117952}}	
132	6	蟹胜	215	TRIGGER	TARGET.NPC	48057	航小婷	1	{{116881, 120613, 1156416}}	
146	7	黑刺客	172	TRIGGER	TARGET.NPC	51323	九隆神丐	1	{{17739, 46040, 1052096}}	
147	8	石敢当	108	TRIGGER	TARGET.NPC	11969	吴为有	1		
148	9	刀豆	23	LOOT	TARGET.NPC	51303	桩桩	1	{{39830, 37690, 1049920}}	
148	9	刀豆	23	TRIGGER				1	{{39318,25577,1066944}}	
190	10	小落墨	105	TRIGGER	TARGET.NPC	51963	查飞天		{{68428, 106598, 1072192}}	
191	11	弈棋小龟	101	TRIGGER	TARGET.NPC	51936	沈笑颜		{{55729, 118573, 1055296}}	
192	12	黄袍大统领	10	TRIGGER	TARGET.NPC	2350	猫猫		{{48026, 16163, 1064547}}	
212	13	苗疆客	102	TRIGGER	TARGET.NPC	55289	苗淼尔	1	{{13226, 95331, 1067008}}	
213	14	甜豆	159	TRIGGER	TARGET.NPC	54677	苏临渊		{{64831, 80600, 1104192}}	
213	14	甜豆	159	LOOT	TARGET.DOODAD	6342	一篓银鱼	1		{104025,93514,1093248}
213	14	甜豆	159	LOOT	TARGET.NPC	55065	李嫂	1	{{99595,105495,1109056}}	
213	14	甜豆	159	LOOT	TARGET.DOODAD	6341	桃花枝	1		{45702,82746,1139904}
214	15	火璃	216	TRIGGER	TARGET.NPC	55282	阿曼	1	{{67686, 31758, 1089600}}	
228	16	小叮当	239	TRIGGER	TARGET.NPC	56702				
229	17	酒海小龟	22	TRIGGER	TARGET.NPC	56477			{{92537, 74609, 1123623}}	
229	17	酒海小龟	22	LOOT	TARGET.DOODAD	6500	夏枯草	1	{{98792, 53453, 1115894},{85317, 59074, 1113953},{61048, 19616, 1099344}}	
230	18	繁花客	193	LOOT	TARGET.NPC	56476	南静	1	{{90747, 11840, 1152128}}	
230	18	繁花客	193	TRIGGER				1	{{90172,9341,1157632}}	
236	19	星辰小龟	213	TRIGGER	TARGET.NPC	59052	阿秋	1	{{103805, 53942, 1057856}}	
237	20	将军客	5	TRIGGER	TARGET.NPC	58137	道知	1	{{33736, 53999, 1127424}}	
238	21	圆圆	23	LOOT	TARGET.NPC	57929	田语夕	1	{{39192, 35207, 1049728}}	
238	21	圆圆	23	TRIGGER				1	{{42555,53100,1064768}}	
242	22	花月小龟	13	TRIGGER	TARGET.DOODAD	6985	张老头的竹筐	1	{{64145, 45776, 1076544}}	
244	23	瑞瑞	16	TRIGGER	TARGET.NPC	59355	卢蓉	1	{{10989, 77872, 1058496}}	
244	23	瑞瑞	16	LOOT	TARGET.DOODAD	6915	川穹	1	{{60561, 76953, 1070272}}	
245	24	财财	15	TRIGGER	TARGET.NPC	59322	杨悦	1	{{56639, 83913, 1053376}}	
246	25	富富	159	TRIGGER	TARGET.NPC	59352	连九醉	1	{{96710, 62200, 1093824}}	
247	26	丰丰	7	TRIGGER	TARGET.NPC	59335	步虚尘	1	{{28715, 8302, 1159680}}	
248	27	鸿鸿	122	TRIGGER	TARGET.NPC	59356	唐御御	1	{{18703, 64246, 1129600}}	
249	28	运运	13	TRIGGER	TARGET.NPC	59272	阮染	1	{{7711, 23420, 1076736}}	
250	29	顺顺	150	TRIGGER	TARGET.NPC	59337	雨芒	1	{{39208, 70614, 1144832}}	
250	29	顺顺	150	LOOT	TARGET.NPC	59336	阿貘	1	{{39008,69908,1148800}}	
