Farme	Left	Top	Width	High	File
0	0	0	123	40	C:\Users\root\Desktop\FlatLaceButton_1.tga
1	125	0	123	40	C:\Users\root\Desktop\FlatLaceButton_2.tga
2	0	42	123	40	C:\Users\root\Desktop\FlatLaceButton_3.tga
3	125	42	123	40	C:\Users\root\Desktop\FlatLaceButton_4.tga
4	0	220	104	26	C:\Users\root\Desktop\SkeuomorphismButton_1.tga
5	106	220	104	26	C:\Users\root\Desktop\SkeuomorphismButton_2.tga
6	0	248	104	26	C:\Users\root\Desktop\SkeuomorphismButton_3.tga
7	106	248	104	26	C:\Users\root\Desktop\SkeuomorphismButton_4.tga
8	0	84	236	32	C:\Users\root\Desktop\FlatButton_1.tga
9	0	118	236	32	C:\Users\root\Desktop\FlatButton_2.tga
10	0	152	236	32	C:\Users\root\Desktop\FlatButton_3.tga
11	0	186	236	32	C:\Users\root\Desktop\FlatButton_4.tga
12	250	0	221	64	C:\Users\root\Desktop\SkeuomorphismLaceButton_1.tga
13	250	66	221	64	C:\Users\root\Desktop\SkeuomorphismLaceButton_2.tga
14	250	198	221	64	C:\Users\root\Desktop\SkeuomorphismLaceButton_3.tga
15	250	132	221	64	C:\Users\root\Desktop\SkeuomorphismLaceButton_4.tga
16	473	0	21	21	C:\Users\root\Desktop\Question_1.tga
17	473	23	21	21	C:\Users\root\Desktop\Question_2.tga
18	473	46	21	21	C:\Users\root\Desktop\Question_3.tga
19	473	69	21	21	C:\Users\root\Desktop\Question_4.tga
20	212	264	67	8	C:\Users\root\Desktop\Link_1.tga
21	281	264	67	8	C:\Users\root\Desktop\Link_2.tga
22	350	264	67	8	C:\Users\root\Desktop\Link_3.tga
23	419	264	67	8	C:\Users\root\Desktop\Link_4.tga
